day, month, hour, weekend, publicHoliday, daysBeforeBooking, weatherCondition, occupancyRate, target_multiplier
  4,     2,    8,       0,             0,                21,                0,          0.88,              0.93
 24,     4,   18,       1,             0,                17,                1,          0.72,              1.71
 31,    12,    1,       0,             0,                 9,                0,          0.48,              0.74
  6,     2,   18,       0,             0,                22,                0,          0.96,              1.53
  2,     4,    1,       0,             0,                 8,                1,          0.56,              0.76
 20,    12,   14,       1,             0,                24,                1,          0.48,              1.03
 28,    10,   23,       0,             0,                24,                2,          0.86,              1.19
 11,     7,   20,       0,             0,                 8,                2,          0.18,              1.24
  4,     9,    2,       0,             0,                21,                1,          0.16,              0.76
 15,     8,    4,       0,             0,                15,                0,          0.78,              0.71
  6,    12,   10,       0,             0,                16,                0,          0.87,              1.06
 22,     9,   23,       0,             0,                15,                0,          0.07,              1.57
 17,     8,    6,       0,             0,                29,                0,          0.76,              0.7
 30,     2,    5,       0,             0,                 5,                1,          0.42,              0.76
 24,     7,   13,       1,             0,                 4,                1,          0.7 ,              0.95
  6,     2,    0,       0,             0,                 6,                1,          0.13,              0.71
 19,    12,   16,       1,             0,                12,                2,          0.97,              1.52
 30,    11,   16,       0,             0,                 7,                0,          0.88,              1.75
 25,     2,   13,       0,             0,                 0,                0,          0.41,              0.69
  2,     4,    9,       0,             0,                29,                1,          0.89,              1.02
 15,     1,    7,       0,             1,                 9,                1,          0.89,              1.16
 11,     5,    7,       0,             0,                19,                0,          0.46,              0.78
  8,     6,   13,       1,             0,                19,                0,          0.95,              1.23
 26,     9,    6,       0,             0,                28,                0,          0.98,              0.97
 19,    10,    5,       0,             0,                 0,                1,          0.22,              0.73
 13,     8,    3,       0,             1,                26,                2,          0.07,              0.66
 12,     2,    0,       0,             0,                19,                0,          0.33,              0.74
  5,     1,   14,       0,             1,                22,                0,          0.49,              0.93
  6,     2,   14,       1,             0,                30,                0,          0.09,              1.04
 26,     7,    0,       0,             0,                13,                0,          0.14,              0.77
 22,     4,   19,       0,             0,                14,                0,          0.97,              1.82
  4,    10,    2,       0,             1,                 5,                0,          0.74,              0.94
 19,     5,   22,       0,             1,                19,                0,          0.87,              1.77
 20,    12,    4,       1,             0,                 1,                0,          0.97,              1.11
  1,     7,    4,       0,             0,                27,                1,          0.38,              0.85
 20,     3,    3,       0,             0,                28,                0,          0.69,              0.76
 17,    10,   16,       1,             0,                 6,                1,          0.18,              1.75
 12,     2,   20,       0,             0,                23,                2,          0.55,              1.21
 15,     7,   19,       0,             0,                24,                0,          0.21,              1.57
  1,     5,   13,       0,             0,                24,                0,          0.16,              0.83
 26,     1,    7,       0,             0,                29,                0,          0.1 ,              0.83
 14,     1,    1,       0,             0,                19,                0,          0.58,              0.75
  6,     9,    7,       0,             1,                18,                0,          0.95,              1.16
  5,     5,    0,       1,             0,                 4,                1,          0.12,              1.04
 30,     1,    3,       0,             0,                21,                0,          0.5 ,              0.74
 11,     7,   18,       0,             0,                27,                0,          0.69,              1.55
 31,     9,    4,       0,             0,                28,                1,          0.5 ,              0.76
  4,    11,    4,       0,             0,                 7,                0,          0.91,              0.96
 13,     1,   20,       0,             0,                 2,                0,          0.17,              1.53
 11,    10,   19,       1,             0,                29,                1,          0.02,              1.7
  3,     4,   23,       0,             0,                30,                0,          0.38,              1.35
  1,     3,   18,       0,             0,                12,                1,          0.56,              1.38
  6,     5,   11,       0,             0,                 5,                2,          0.25,              0.6
 18,     7,   19,       1,             0,                20,                1,          0.17,              1.75
 24,     8,    0,       0,             0,                28,                0,          0.8 ,              0.71
 10,     2,    6,       0,             0,                22,                0,          0.19,              0.75
  5,     7,   16,       0,             0,                13,                0,          0.44,              1.63
 23,     1,    1,       1,             0,                24,                2,          0.95,              0.85
 10,     7,   10,       1,             0,                 6,                2,          0.61,              0.63
 12,     8,    6,       1,             0,                10,                0,          0.5 ,              0.91
  2,     2,   16,       1,             1,                21,                2,          0.36,              1.16
 13,     9,    2,       0,             0,                 8,                0,          0.52,              0.71
  8,     1,   21,       0,             1,                 9,                0,          0.73,              1.72
  2,     6,    5,       0,             1,                19,                0,          0.82,              1.2
 20,     1,   21,       0,             0,                29,                0,          0.65,              1.37
  1,     3,   10,       0,             0,                16,                2,          0.79,              0.6
 31,    11,   17,       1,             0,                 7,                0,          0.09,              1.6
  5,     6,   17,       0,             0,                21,                1,          0.01,              1.6
  9,     3,   21,       0,             0,                 5,                2,          0.73,              1.31
 17,     8,    9,       1,             0,                29,                1,          0.26,              0.94
  9,     5,    4,       0,             1,                30,                0,          0.88,              1.13
 11,     2,   22,       0,             0,                20,                1,          0.54,              1.34
 15,     4,   22,       0,             0,                25,                0,          0.48,              1.27
 24,     9,   20,       0,             0,                10,                1,          0.77,              1.35
  6,     4,   23,       1,             0,                 2,                0,          0.74,              1.51
 23,    10,   21,       0,             0,                 5,                1,          0.7 ,              1.46
  3,    10,   14,       1,             0,                16,                1,          0.69,              0.97
 30,     8,   20,       0,             0,                 6,                1,          0.52,              1.5
 31,     5,   19,       0,             0,                 5,                2,          0.93,              1.44
 17,    11,   22,       0,             1,                20,                0,          0.89,              1.89
  5,    11,    3,       0,             0,                12,                0,          0.33,              0.85
 30,    10,   20,       0,             0,                13,                0,          0.8 ,              1.47
 28,     1,   20,       0,             0,                18,                0,          0.89,              1.51
 12,     7,    0,       0,             1,                 7,                0,          0.62,              1.01
 18,     3,   14,       0,             0,                12,                0,          0.56,              0.86
 14,    10,   16,       0,             0,                19,                1,          0.67,              1.32
 21,     8,   18,       0,             0,                 8,                2,          0.16,              1.13
 24,    12,   13,       0,             0,                24,                0,          0.09,              0.74
 11,     3,   18,       0,             0,                 4,                0,          0.82,              1.63
  9,     1,   17,       1,             0,                10,                0,          0.57,              1.61
  2,     5,    1,       1,             0,                 6,                0,          0.12,              1.0
 12,     2,    5,       1,             0,                 5,                1,          0.42,              0.99
  3,    11,   12,       0,             0,                11,                0,          0.3 ,              0.84
  3,     4,   16,       0,             0,                11,                1,          0.88,              1.52
  1,     1,    5,       0,             0,                 5,                0,          0.51,              0.73
  8,     9,   20,       1,             0,                30,                2,          0.58,              1.25
 22,     6,   21,       0,             0,                 3,                2,          0.24,              1.18
 28,     8,    4,       0,             0,                25,                2,          0.8 ,              0.6
 29,    11,    6,       1,             0,                12,                0,          0.93,              1.16
  8,     4,    0,       0,             0,                11,                0,          0.79,              0.82
 11,     9,   12,       0,             0,                14,                0,          0.49,              0.83
  9,     2,   18,       0,             0,                 7,                1,          0.84,              1.68
  5,     9,   21,       0,             0,                12,                0,          0.19,              1.53
 14,    12,    0,       0,             0,                10,                1,          0.11,              0.74
 28,     5,   12,       0,             1,                10,                1,          0.44,              0.95
 30,     6,   10,       1,             0,                29,                1,          0.18,              1.05
  3,     3,    6,       0,             0,                10,                1,          0.26,              0.74
 21,     4,   19,       0,             0,                25,                0,          0.59,              1.42
  5,     6,    2,       0,             1,                18,                0,          0.4 ,              0.89
  5,     7,    0,       0,             0,                20,                1,          0.87,              1.01
 19,     1,    7,       1,             0,                16,                2,          0.23,              0.76
 27,     7,   16,       0,             0,                 0,                1,          1.0 ,              1.69
 14,     1,   12,       1,             0,                12,                1,          0.36,              0.92
 26,     5,   13,       0,             0,                24,                2,          0.52,              0.6
 30,     6,    4,       0,             0,                19,                0,          0.13,              0.76
  4,     2,   23,       1,             1,                 8,                2,          0.58,              1.47
 25,    10,   21,       0,             0,                22,                0,          0.96,              1.77
 13,     9,   22,       0,             1,                25,                0,          0.75,              1.73
 10,    10,   23,       0,             0,                23,                0,          0.24,              1.46
 25,     6,    5,       1,             0,                10,                0,          0.44,              0.94
 18,     7,   21,       1,             0,                 8,                0,          0.43,              1.79
  8,    10,    5,       1,             0,                16,                0,          0.1 ,              0.98
  8,     8,   20,       0,             0,                 6,                0,          0.89,              1.71
  7,    11,    7,       0,             0,                 7,                0,          0.38,              0.78
  8,    10,   12,       0,             0,                29,                0,          0.49,              0.77
 14,     1,   17,       0,             0,                 1,                1,          0.29,              1.54
 19,     8,   22,       0,             0,                13,                0,          0.15,              1.39
 29,     4,    3,       0,             0,                 9,                0,          0.9 ,              1.06
  6,    10,   16,       0,             0,                 8,                0,          0.04,              1.4
  1,     8,    4,       1,             0,                27,                0,          0.4 ,              1.03
 23,     6,    2,       1,             1,                 0,                2,          0.73,              0.77
 31,    11,    3,       1,             0,                11,                1,          0.31,              0.94
 15,     9,   22,       0,             0,                13,                1,          0.45,              1.31
  1,    11,    4,       0,             0,                30,                0,          0.56,              0.77
 25,     4,   13,       0,             0,                18,                0,          1.0 ,              0.86
 17,     2,   14,       0,             0,                28,                0,          0.76,              0.84
  1,     2,   19,       0,             0,                10,                1,          0.97,              1.54
 15,     5,   16,       1,             0,                 8,                1,          0.69,              1.77
 23,    10,    5,       0,             0,                16,                2,          0.27,              0.6
  2,     9,    9,       0,             0,                19,                0,          0.29,              0.74
 14,    12,   21,       0,             0,                25,                0,          0.82,              1.7
 21,     3,   22,       0,             0,                 5,                0,          0.43,              1.39
  8,     8,   15,       0,             0,                 5,                1,          0.37,              0.86
  8,     4,   16,       0,             0,                29,                0,          0.95,              1.73
 19,     6,   13,       0,             0,                19,                0,          0.01,              0.84
  7,    10,   19,       0,             0,                 9,                2,          0.52,              1.17
 19,     6,   11,       0,             0,                 9,                1,          0.78,              0.74
  6,     3,    8,       0,             0,                30,                0,          0.74,              0.79
  6,     5,   14,       0,             0,                25,                0,          0.37,              0.69
  3,    12,   11,       0,             0,                25,                1,          0.54,              0.7
  7,     3,   13,       1,             0,                16,                1,          0.01,              0.94
 19,    11,   21,       0,             0,                20,                1,          0.53,              1.37
  8,    11,   17,       0,             0,                13,                0,          0.59,              1.56
 10,     1,   19,       1,             0,                 4,                2,          0.87,              1.38
 20,     7,    5,       0,             0,                 2,                1,          0.21,              0.81
 15,     4,    3,       1,             0,                10,                2,          0.83,              0.85
 15,     7,   22,       1,             0,                18,                0,          0.72,              1.73
 29,     3,   11,       0,             0,                19,                0,          0.67,              0.73
  1,    12,   12,       1,             0,                18,                0,          0.39,              0.98
 20,    11,   18,       0,             0,                13,                2,          0.37,              1.17
 30,     5,   21,       0,             0,                14,                0,          0.7 ,              1.35
  7,     5,   12,       1,             0,                 2,                0,          0.99,              1.25
 27,     2,   11,       1,             0,                 2,                0,          0.41,              0.96
  4,    11,   19,       0,             0,                22,                1,          0.92,              1.65
 29,    10,    2,       0,             0,                 8,                2,          0.59,              0.6
  6,    12,    2,       0,             0,                10,                1,          0.87,              0.97
 25,     2,   13,       0,             0,                14,                1,          0.22,              0.84
  1,     4,   17,       0,             0,                28,                2,          0.76,              1.22
 29,     4,   18,       1,             0,                16,                0,          0.83,              1.85
  5,     4,    9,       0,             0,                23,                2,          0.83,              0.71
 27,     6,   16,       0,             0,                25,                0,          0.78,              1.48
 23,     2,   14,       0,             0,                11,                0,          0.3 ,              0.78
  1,     6,   18,       0,             0,                16,                0,          0.52,              1.57
 30,     7,    8,       0,             0,                 8,                0,          0.3 ,              0.7
  4,    11,    3,       0,             0,                12,                0,          0.34,              0.67
 22,    10,   14,       1,             1,                 7,                0,          0.3 ,              0.95
  2,     3,   18,       0,             0,                30,                0,          0.28,              1.4
 10,    11,   15,       0,             0,                21,                0,          0.69,              0.8
  5,    12,    7,       0,             1,                 5,                0,          0.65,              0.93
 27,     8,   16,       0,             0,                26,                2,          0.2 ,              1.08
 10,     2,   20,       0,             0,                25,                2,          0.69,              1.23
  1,    11,    0,       1,             0,                22,                2,          0.29,              0.69
 22,     8,    6,       0,             0,                23,                1,          0.2 ,              0.78
  6,    11,   20,       0,             0,                28,                1,          0.75,              1.57
 13,     5,   17,       1,             0,                 6,                1,          0.36,              1.75
 31,     2,   11,       1,             0,                30,                1,          0.57,              0.95
 15,     7,   15,       0,             0,                28,                0,          0.2 ,              0.73
  4,     2,    0,       0,             0,                 0,                0,          0.61,              0.79
 13,     6,   14,       0,             0,                 9,                0,          0.21,              0.85
 24,    10,    6,       0,             1,                14,                1,          0.17,              0.89
 20,     3,   16,       0,             0,                28,                1,          0.39,              1.44
 24,     9,    2,       1,             0,                13,                0,          0.79,              0.94
 15,     3,   10,       0,             0,                 3,                0,          0.18,              0.71
 29,    11,    5,       0,             0,                30,                0,          0.12,              0.7
  8,    12,    5,       0,             1,                 3,                1,          0.03,              0.96
  5,    12,   14,       1,             0,                28,                0,          0.42,              0.91
 29,     3,    6,       0,             0,                 8,                0,          0.28,              0.77
 15,     5,   10,       0,             0,                14,                0,          0.29,              0.77
  4,     7,   16,       1,             0,                11,                1,          0.98,              1.85
 12,     8,   22,       0,             0,                 8,                2,          0.19,              1.25
 13,    12,   17,       0,             0,                 2,                2,          0.46,              1.26
  2,    11,   21,       0,             0,                26,                0,          0.99,              1.71
 27,     7,   23,       1,             1,                14,                0,          0.03,              1.79
 31,     9,   20,       1,             0,                24,                0,          0.7 ,              1.58
 19,     5,   18,       0,             0,                20,                0,          0.37,              1.33
 19,    10,    7,       0,             0,                10,                1,          0.91,              0.98
  4,    11,   23,       0,             0,                 5,                0,          0.91,              1.83
  4,     3,   19,       0,             0,                14,                1,          0.39,              1.43
 26,     6,    7,       1,             0,                 6,                0,          0.22,              0.92
 11,     5,   20,       0,             0,                18,                2,          0.43,              1.03
 27,    12,   10,       1,             0,                13,                0,          0.97,              1.26
  5,     4,   20,       0,             0,                 3,                0,          0.28,              1.43
 20,    12,    2,       1,             0,                20,                1,          0.98,              1.16
 11,     2,   22,       1,             1,                 0,                1,          0.82,              1.72
 30,     7,   13,       0,             0,                23,                1,          0.27,              0.76
 10,     5,    8,       0,             0,                26,                2,          0.79,              0.6
  8,     4,    0,       0,             0,                22,                0,          0.05,              0.72
  6,    12,    0,       1,             0,                12,                0,          0.55,              0.96
  6,     8,   11,       0,             1,                10,                2,          0.36,              0.61
  8,     9,   10,       1,             0,                27,                0,          0.43,              0.86
 23,     9,   20,       0,             0,                28,                0,          0.47,              1.28
 15,     3,    0,       0,             0,                17,                1,          0.5 ,              0.66
 26,     3,   19,       0,             0,                22,                1,          0.66,              1.53
 14,     5,   11,       1,             0,                27,                0,          0.7 ,              1.06
 11,     5,   16,       0,             0,                 8,                0,          0.98,              1.78
 12,    10,   14,       0,             0,                20,                0,          0.76,              0.85
 26,     2,    1,       1,             1,                29,                0,          0.69,              1.02
 13,     1,   17,       1,             0,                10,                2,          0.39,              1.3
  8,     8,   15,       1,             0,                 5,                0,          0.12,              0.97
 30,     3,    3,       0,             0,                15,                0,          0.06,              0.71
 18,     1,    7,       0,             0,                 4,                1,          0.48,              0.82
 25,     1,    1,       0,             0,                 0,                1,          0.67,              0.8
  1,    11,   13,       1,             0,                21,                1,          0.65,              1.02
 15,     2,   14,       0,             0,                13,                0,          0.95,              0.99
  8,     6,    8,       0,             0,                29,                2,          0.38,              0.6
 28,     6,    1,       1,             0,                22,                0,          0.63,              0.89
 11,     3,   16,       0,             0,                20,                0,          0.89,              1.7
 12,    12,    9,       0,             0,                18,                1,          0.4 ,              0.8
 12,     4,    8,       0,             0,                30,                0,          0.48,              0.74
  4,    12,    1,       0,             0,                 5,                2,          0.92,              0.7
 16,     2,   23,       0,             0,                27,                0,          0.55,              1.29
  4,     2,   18,       1,             0,                11,                2,          0.8 ,              1.42
  5,     7,   16,       1,             0,                26,                0,          0.94,              1.77
 24,     1,   10,       0,             1,                 6,                2,          0.57,              0.75
  5,     7,   16,       0,             0,                 9,                1,          0.11,              1.44
  8,    12,    9,       0,             0,                 9,                1,          0.82,              0.97
 31,    12,   17,       1,             0,                27,                0,          0.82,              1.94
 10,     1,   22,       0,             0,                29,                2,          0.11,              1.18
 17,     6,    5,       1,             0,                24,                0,          0.55,              1.03
 28,     3,   15,       1,             0,                12,                0,          0.49,              0.9
 31,     8,   17,       0,             0,                 6,                1,          0.85,              1.72
 26,     6,   19,       0,             0,                18,                0,          0.27,              1.36
  9,    11,   17,       0,             0,                 0,                0,          0.43,              1.34
 22,     2,    0,       0,             0,                14,                1,          0.6 ,              0.77
 19,     8,    2,       0,             0,                13,                0,          0.52,              0.8
 29,     5,   14,       0,             0,                12,                1,          0.96,              0.94
 14,     8,   19,       0,             0,                 6,                1,          0.96,              1.68
  8,     8,    9,       0,             0,                11,                0,          0.08,              0.76
  9,     6,   20,       0,             0,                 7,                0,          0.3 ,              1.43
 22,     2,    4,       0,             0,                14,                1,          0.01,              0.84
 11,     8,   14,       0,             0,                26,                1,          0.42,              0.69
 23,    11,   22,       1,             0,                16,                0,          0.66,              1.6
  1,     6,   13,       0,             0,                20,                0,          0.47,              0.71
 14,     6,   14,       0,             0,                11,                0,          0.07,              0.82
  5,     8,    9,       0,             0,                27,                1,          0.2 ,              0.82
 21,     1,   23,       0,             0,                12,                1,          0.17,              1.34
 26,     2,    8,       0,             0,                 7,                0,          0.51,              0.74
 14,    12,   11,       0,             1,                 9,                1,          0.68,              1.04
  4,    12,    6,       1,             0,                 6,                2,          0.32,              0.67
 22,     9,    4,       0,             0,                30,                0,          0.13,              0.8
 23,    11,   23,       0,             0,                 1,                1,          0.8 ,              1.61
 25,    12,    9,       1,             0,                28,                2,          0.86,              0.77
  1,     8,    7,       0,             0,                28,                2,          0.28,              0.6
 31,    12,   21,       0,             0,                15,                0,          0.42,              1.3
 22,     7,   19,       1,             0,                28,                0,          0.08,              1.65
 23,     7,   15,       0,             0,                 3,                2,          0.23,              0.6
 19,     5,   11,       0,             0,                 5,                0,          0.77,              0.79
  8,     2,    8,       1,             0,                 6,                0,          0.37,              1.01
 15,    11,    9,       1,             0,                29,                0,          0.6 ,              0.95
 21,     6,   15,       1,             0,                22,                1,          0.95,              1.19
 15,    10,    9,       1,             1,                18,                0,          0.72,              1.02
  9,     3,    8,       0,             0,                27,                2,          0.45,              0.6
 21,     4,    2,       1,             0,                23,                0,          0.37,              1.02
  9,    10,   18,       1,             0,                22,                1,          0.19,              1.8
 10,    12,   10,       1,             0,                 3,                0,          0.76,              0.96
 20,    11,    5,       1,             0,                 9,                0,          0.11,              0.93
 25,     2,    5,       0,             0,                28,                0,          0.06,              0.75
 21,     2,   14,       0,             0,                 3,                2,          0.1 ,              0.6
 26,    12,   14,       0,             0,                19,                1,          0.24,              0.73
  9,     8,   12,       0,             0,                 4,                1,          0.63,              0.75
  3,     8,   21,       0,             0,                13,                1,          0.86,              1.69
 31,    10,    4,       1,             0,                10,                0,          0.99,              1.14
 20,     6,   13,       0,             0,                 1,                1,          0.73,              0.79
 25,     5,   20,       0,             0,                 8,                0,          0.15,              1.37
 26,     8,    1,       0,             0,                21,                1,          0.28,              0.77
 11,     4,   22,       0,             0,                11,                0,          0.13,              1.59
  6,    11,   11,       0,             0,                23,                1,          0.12,              0.67
  2,     4,   19,       0,             0,                26,                1,          0.57,              1.55
  7,     5,   13,       1,             0,                 0,                0,          0.91,              1.15
 18,     1,   18,       0,             0,                30,                0,          0.68,              1.49
 27,     1,   23,       0,             0,                21,                0,          0.8 ,              1.58
  2,     2,   19,       0,             1,                14,                2,          0.51,              1.48
 27,     8,   14,       0,             0,                 5,                0,          0.48,              0.81
 17,     7,   19,       0,             0,                23,                0,          0.94,              1.78
 11,    10,   23,       0,             0,                28,                0,          0.72,              1.5
 27,     9,   16,       0,             0,                16,                2,          0.46,              1.08
 12,     5,   13,       0,             0,                20,                1,          0.33,              0.79
 27,     2,   22,       0,             0,                14,                0,          0.09,              1.48
 19,     7,   17,       1,             0,                29,                1,          0.82,              1.8
 22,     8,   21,       1,             0,                13,                2,          0.17,              1.3
 24,    12,   23,       0,             1,                29,                1,          0.52,              1.57
 25,     7,    4,       0,             0,                18,                0,          0.64,              0.75
  7,     7,   21,       0,             0,                21,                0,          0.74,              1.49
 20,    12,   11,       0,             0,                 8,                0,          0.08,              0.78
  6,     5,    9,       0,             0,                25,                0,          0.01,              0.78
 21,     2,    7,       0,             1,                 2,                1,          0.71,              1.08
 24,     6,    5,       0,             1,                24,                1,          0.45,              0.92
  1,     4,   14,       1,             1,                27,                2,          0.18,              0.71
 17,    10,   11,       1,             0,                24,                1,          0.98,              1.16
 29,     2,    5,       0,             0,                14,                0,          0.79,              0.87
 31,    12,   11,       0,             0,                16,                1,          0.58,              0.69
 11,     9,   14,       0,             1,                 1,                1,          0.7 ,              1.0
 22,     7,   11,       0,             0,                26,                0,          0.16,              0.77
 26,     6,    8,       0,             0,                 3,                1,          0.96,              1.03
 28,    12,   18,       1,             1,                13,                0,          1.0 ,              1.72
 18,     5,   20,       1,             0,                10,                0,          0.65,              1.7
 21,     3,    1,       0,             0,                26,                0,          0.67,              0.71
 17,    12,   12,       1,             0,                11,                0,          0.7 ,              1.02
  7,    10,   12,       0,             0,                22,                0,          0.67,              0.71
 17,    10,    7,       0,             0,                15,                0,          0.44,              0.78
 20,     4,   12,       0,             0,                11,                2,          0.54,              0.6
  9,     3,    3,       0,             0,                 1,                2,          0.28,              0.6
 17,    12,    5,       1,             0,                 6,                2,          0.45,              0.64
 20,    11,    5,       1,             1,                20,                2,          0.44,              0.67
 22,     8,   20,       0,             0,                25,                2,          0.29,              1.14
 22,     3,   11,       1,             0,                30,                1,          0.79,              0.92
 28,     7,   11,       1,             0,                22,                2,          0.41,              0.64
 31,     7,   16,       0,             0,                29,                1,          0.55,              1.5
 29,     7,    6,       0,             0,                27,                1,          0.16,              0.78
  8,     7,   14,       1,             0,                24,                0,          0.47,              1.0
 17,     2,   23,       1,             0,                24,                1,          0.76,              1.55
  7,    10,   16,       0,             0,                 2,                2,          0.44,              1.2
  1,     3,    9,       0,             0,                 2,                0,          0.56,              0.72
 13,    10,   22,       0,             0,                12,                0,          0.7 ,              1.61
 30,     9,   19,       1,             0,                 6,                0,          0.39,              1.69
 23,     3,    5,       1,             0,                 4,                1,          0.35,              0.96
 19,     2,    8,       0,             0,                20,                1,          0.09,              0.74
 27,     9,   14,       0,             0,                 4,                0,          0.58,              0.82
 24,    10,   15,       1,             1,                24,                0,          0.71,              1.06
 19,     9,   20,       0,             0,                30,                2,          0.58,              1.1
 30,     4,    7,       1,             0,                19,                1,          0.28,              0.93
 30,    12,   15,       0,             0,                21,                0,          0.26,              0.78
 29,     9,    4,       0,             0,                 5,                1,          0.16,              0.7
 17,     3,   17,       0,             0,                12,                0,          0.05,              1.48
 13,     7,   19,       0,             0,                 6,                0,          0.43,              1.48
 29,     7,   13,       1,             0,                 1,                2,          0.16,              0.69
 30,    11,    1,       1,             0,                21,                2,          0.69,              0.72
 16,     8,   22,       1,             1,                28,                0,          0.96,              1.76
  8,    10,   22,       0,             1,                 8,                0,          0.07,              1.52
 19,     4,    2,       0,             0,                18,                0,          0.89,              0.87
 18,     3,   13,       0,             0,                 1,                2,          0.66,              0.6
  1,     3,    6,       1,             0,                12,                2,          0.86,              0.86
 14,    12,   14,       0,             0,                 7,                0,          0.15,              0.88
 19,     5,   16,       1,             0,                15,                0,          0.91,              1.96
 15,    11,    0,       1,             0,                 0,                0,          0.96,              1.22
 18,     1,    8,       0,             0,                10,                2,          0.91,              0.67
  2,    10,   21,       1,             0,                 7,                0,          0.79,              1.53
 22,     3,   13,       1,             0,                20,                0,          0.09,              0.97
 28,     6,   15,       1,             0,                24,                1,          0.22,              1.0
 17,     3,   20,       0,             0,                24,                0,          0.91,              1.82
 18,     5,   12,       1,             0,                19,                0,          0.23,              0.92
 30,     9,    5,       0,             0,                 0,                0,          0.35,              0.74
  6,     2,   21,       0,             0,                20,                1,          0.05,              1.45
 19,    11,    0,       0,             0,                 6,                1,          0.63,              0.73
 31,     2,   20,       0,             0,                24,                0,          0.56,              1.54
  4,    12,    3,       1,             0,                25,                0,          0.96,              1.22
  1,     6,    2,       0,             1,                24,                0,          0.89,              1.14
  8,     6,   16,       0,             0,                 8,                0,          0.51,              1.4
 29,    11,    1,       0,             0,                21,                0,          0.61,              0.81
 23,    11,   18,       1,             0,                 1,                1,          0.41,              1.82
  7,     8,   19,       1,             0,                20,                2,          0.13,              1.35
  3,    12,   22,       0,             0,                18,                1,          0.87,              1.57
 10,    11,   21,       1,             0,                27,                1,          0.55,              1.66
 10,     2,    7,       0,             0,                 5,                1,          0.43,              0.73
 19,     9,   14,       0,             0,                26,                2,          0.07,              0.6
 14,     2,    5,       0,             0,                 4,                1,          0.67,              0.69
  2,     1,   22,       1,             0,                12,                1,          0.4 ,              1.66
 28,    10,   19,       1,             1,                29,                0,          0.25,              1.8
  1,     2,    1,       0,             0,                 9,                0,          0.88,              1.06
 23,    12,   14,       0,             0,                26,                0,          0.18,              0.87
 23,     7,   19,       0,             0,                 0,                2,          0.52,              1.01
 28,     8,   11,       0,             0,                25,                1,          0.8 ,              0.84
 18,     5,    2,       0,             0,                25,                0,          0.85,              1.02
  7,     6,    9,       0,             0,                27,                1,          0.82,              0.95
 29,    12,   13,       0,             0,                17,                0,          0.9 ,              0.93
  8,     1,   21,       0,             0,                26,                2,          0.14,              1.23
  1,     6,   13,       0,             0,                20,                0,          0.94,              0.92
 25,    12,    2,       1,             0,                13,                1,          0.01,              0.93
 23,     8,    0,       0,             0,                11,                1,          0.26,              0.82
  3,     3,   19,       1,             0,                 5,                2,          0.08,              1.27
 24,    11,    0,       0,             0,                13,                1,          0.95,              0.96
 23,     1,    1,       0,             0,                16,                2,          0.42,              0.6
 27,    11,   18,       0,             0,                 6,                0,          0.32,              1.51
